iter	Logloss
0	0.685656945
1	0.6817162964
2	0.6759882949
3	0.6679161285
4	0.6631150294
5	0.6582880207
6	0.6536856824
7	0.6484226255
8	0.6447445746
9	0.6399389691
10	0.6355741476
11	0.6315556542
12	0.6267136771
13	0.6230589651
14	0.61771181
15	0.6128927807
16	0.6095714218
17	0.6058483806
18	0.6027901784
19	0.5991592248
20	0.59421678
21	0.5905478818
22	0.5872512249
23	0.5831755705
24	0.57978215
25	0.5766197683
26	0.5733842038
27	0.5693758514
28	0.5663834176
29	0.5621301653
30	0.5584928481
31	0.5556724747
32	0.5515319817
33	0.5479833993
34	0.5443638947
35	0.5413117089
36	0.5390911405
37	0.5355022916
38	0.5313411462
39	0.5285951668
40	0.5254133647
41	0.5232692448
42	0.520999776
43	0.5177813598
44	0.5151259727
45	0.5122075825
46	0.5099437033
47	0.5081927901
48	0.5060263789
49	0.5041962786
50	0.5014961693
51	0.498910421
52	0.4965306675
53	0.4941791005
54	0.4924596957
55	0.4886151389
56	0.4861850209
57	0.4842312585
58	0.4819165693
59	0.4788761571
60	0.476913866
61	0.4749461047
62	0.4731313228
63	0.4712620927
64	0.4692231187
65	0.4676559555
66	0.4656709941
67	0.4647763291
68	0.4635157373
69	0.461545417
70	0.4599542799
71	0.4584041432
72	0.4569276928
73	0.4550226692
74	0.4531861601
75	0.4514878552
76	0.4493159245
77	0.4478097002
78	0.4466214773
79	0.444956435
80	0.4435645849
81	0.4415555258
82	0.4401104328
83	0.4393102369
84	0.438208818
85	0.4367441565
86	0.4358387576
87	0.4343163611
88	0.4323232329
89	0.4310779257
90	0.4300853238
91	0.4288276954
92	0.4274078643
93	0.4264609997
94	0.4256499925
95	0.4249387633
96	0.4233608581
97	0.4220239583
98	0.4210393674
99	0.419711279
100	0.4184817995
101	0.4174311344
102	0.4162841772
103	0.4148693949
104	0.4136342236
105	0.4126816528
106	0.4118397529
107	0.4111840972
108	0.4101632044
109	0.4092098561
110	0.4078695736
111	0.4065188127
112	0.4052993115
113	0.4043569563
114	0.4032984627
115	0.4026547528
116	0.4018632482
117	0.4014058408
118	0.4009125744
119	0.4005427119
120	0.3996617755
121	0.398789809
122	0.3980753458
123	0.3971794349
124	0.3962307397
125	0.3954549797
126	0.3951709215
127	0.3945360229
128	0.3938041253
129	0.3935388821
130	0.3926436001
131	0.3919389445
132	0.3911930699
133	0.3904918707
134	0.389259371
135	0.3883143893
136	0.3874206455
137	0.3870209708
138	0.3858975675
139	0.3855964655
140	0.3842784964
141	0.3835168861
142	0.3825409248
143	0.3814411774
144	0.3805967276
145	0.380072124
146	0.3796407492
147	0.3788328155
148	0.37784246
149	0.3771738812
150	0.3764104559
151	0.3754748493
152	0.3749497598
153	0.3738950894
154	0.3732933589
155	0.3725139023
156	0.3719131477
157	0.3709363756
158	0.3696113958
159	0.3691718774
160	0.3689811173
161	0.3686163596
162	0.3679107737
163	0.3674969657
164	0.3670766135
165	0.3659607413
166	0.3654883627
167	0.3650379312
168	0.3647259705
169	0.3641747935
170	0.3639090633
171	0.3626851102
172	0.3614726524
173	0.3612879775
174	0.3608859475
175	0.3604736196
176	0.3599101528
177	0.359260776
178	0.3590201426
179	0.3582889073
180	0.3577386158
181	0.3573677906
182	0.357133188
183	0.3567176808
184	0.3560537666
185	0.3557819602
186	0.3553574332
187	0.3548808219
188	0.3540598535
189	0.3532991214
190	0.352541027
191	0.351996824
192	0.351529964
193	0.3513147118
194	0.3510136746
195	0.3506455675
196	0.3503484807
197	0.3503256682
198	0.3492001186
199	0.348812598
200	0.348516129
201	0.3479814953
202	0.347736051
203	0.3470643818
204	0.3465560246
205	0.3461844475
206	0.3459789927
207	0.3453345438
208	0.3447278693
209	0.3437662472
210	0.3433006066
211	0.3429078933
212	0.342252806
213	0.3415949713
214	0.3410881037
215	0.3405341073
216	0.3403221344
217	0.3398332964
218	0.3394188503
219	0.3387740582
220	0.3383429411
221	0.3379972815
222	0.3375826982
223	0.3373825357
224	0.3367458266
225	0.3361920829
226	0.3357067846
227	0.3354569307
228	0.3351563801
229	0.334825472
230	0.3344079945
231	0.3341254498
232	0.3338443173
233	0.3334034298
234	0.3331683735
235	0.3327703106
236	0.3324513767
237	0.3322305824
238	0.3317322657
239	0.3316830387
240	0.3311290726
241	0.3306321681
242	0.3300435548
243	0.3296570987
244	0.3291523064
245	0.3287272631
246	0.3283900263
247	0.328064167
248	0.3275842414
249	0.327098743
250	0.326892147
251	0.3262981105
252	0.3258480812
253	0.3255959673
254	0.3247360564
255	0.3243098671
256	0.324006991
257	0.3234232009
258	0.3232199384
259	0.322793397
260	0.3225481365
261	0.3222847232
262	0.3218623971
263	0.3215033052
264	0.3211746555
265	0.3209559152
266	0.3205180595
267	0.3200188472
268	0.3193992757
269	0.3191285384
270	0.3189531
271	0.3184072996
272	0.3179322474
273	0.3173233963
274	0.3169116098
275	0.3164312743
276	0.3160361513
277	0.3155376951
278	0.3151371612
279	0.3146948243
280	0.314311254
281	0.3140266851
282	0.3136184639
283	0.3132412349
284	0.3127987218
285	0.3123645165
286	0.3119646548
287	0.3115838544
288	0.3112542365
289	0.3107096501
290	0.310405886
291	0.3102981221
292	0.3101024598
293	0.3095773251
294	0.3090927649
295	0.3087758252
296	0.3082779498
297	0.3080818682
298	0.3077248356
299	0.3071991634
300	0.3067086291
301	0.3063565388
302	0.3060092639
303	0.3056353998
304	0.3055031774
305	0.3050861854
306	0.3048588016
307	0.3045123849
308	0.3042574888
309	0.3036927306
310	0.3031893372
311	0.3028732659
312	0.3025933433
313	0.3020430778
314	0.3017048275
315	0.3013865722
316	0.3010537944
317	0.3006925958
318	0.3003559261
319	0.3000076179
320	0.299377794
321	0.2992244994
322	0.2991202857
323	0.2985948857
324	0.298097763
325	0.2976350581
326	0.297349327
327	0.2969526962
328	0.2966594415
329	0.2964030605
330	0.2958706001
331	0.2954638461
332	0.295182185
333	0.2949472591
334	0.2944905479
335	0.2941393031
336	0.2938097559
337	0.2936183219
338	0.2932904844
339	0.2930225828
340	0.2927286069
341	0.2922799172
342	0.2917698246
343	0.2915391387
344	0.291248839
345	0.2908932383
346	0.2907122524
347	0.2902970211
348	0.2900914756
349	0.2897976819
350	0.2896289808
351	0.2892783644
352	0.2889375381
353	0.2886027308
354	0.2881626194
355	0.2878965715
356	0.2876573847
357	0.2874829825
358	0.2869114446
359	0.2867319244
360	0.2862469131
361	0.2860221609
362	0.2858665718
363	0.2856216672
364	0.2850181871
365	0.2847116763
366	0.2844998468
367	0.2843347598
368	0.2840558301
369	0.2836670574
370	0.2833752842
371	0.2827750214
372	0.282468874
373	0.2819752856
374	0.2816694737
375	0.2812934599
376	0.2811340789
377	0.281019549
378	0.2807605365
379	0.2804868462
380	0.2801723239
381	0.2799009333
382	0.27944425
383	0.2789819459
384	0.2787178134
385	0.2785477029
386	0.2781454065
387	0.277905884
388	0.2775833058
389	0.2773278379
390	0.2771141662
391	0.2768006831
392	0.276567859
393	0.2763768766
394	0.2760780409
395	0.275487676
396	0.2750163089
397	0.2747064983
398	0.2742936773
399	0.2740439315
400	0.2735338708
401	0.2733006134
402	0.2729206626
403	0.2726475389
404	0.2723758794
405	0.2720339446
406	0.2715537248
407	0.2712717902
408	0.2707577337
409	0.2705013729
410	0.2700670782
411	0.2699661688
412	0.269645793
413	0.2694943693
414	0.2691847444
415	0.2689554657
416	0.2686307067
417	0.2684006746
418	0.2679347863
419	0.2677347114
420	0.2673698847
421	0.2668759775
422	0.2665843939
423	0.2664153027
424	0.2661301652
425	0.2659267535
426	0.2655922286
427	0.2654621738
428	0.2651346337
429	0.2649731755
430	0.2645990422
431	0.2643627547
432	0.2641511746
433	0.2639030762
434	0.2635679052
435	0.2630054459
436	0.2628179367
437	0.2626100886
438	0.262299949
439	0.2619274709
440	0.2616324701
441	0.2613394518
442	0.2611671882
443	0.2609800338
444	0.2606316037
445	0.2602970674
446	0.2599372468
447	0.2597245908
448	0.2594404814
449	0.2592522416
450	0.2590162074
451	0.2589064665
452	0.2585809804
453	0.2581527465
454	0.257977115
455	0.2577319788
456	0.2574720811
457	0.2572416714
458	0.256912359
459	0.2567231476
460	0.2566921314
461	0.2564505037
462	0.2560222402
463	0.2557903474
464	0.2554665567
465	0.2551822406
466	0.2548084206
467	0.2545362569
468	0.2541971192
469	0.2539963562
470	0.2538248473
471	0.2537059622
472	0.2534534287
473	0.2531915109
474	0.2529831512
475	0.2526656204
476	0.252336221
477	0.2521513711
478	0.2519389866
479	0.2516674574
480	0.2514266748
481	0.2512039231
482	0.2508339993
483	0.2503580922
484	0.2500785671
485	0.2497607801
486	0.2495819922
487	0.2492499744
488	0.2489380348
489	0.2487172504
490	0.2483438694
491	0.2479897585
492	0.2478106227
493	0.2474098131
494	0.247280098
495	0.2471875705
496	0.2469218933
497	0.2466814057
498	0.2464666687
499	0.2462765033
500	0.2460294246
501	0.2457705106
502	0.2454611665
503	0.2451684
504	0.2450030193
505	0.2446658282
506	0.2443614164
507	0.2440009333
508	0.2437505413
509	0.2435195803
510	0.2430502682
511	0.2429207837
512	0.2427133484
513	0.2426303608
514	0.2423504526
515	0.2420627403
516	0.2417583817
517	0.241517174
518	0.2413426825
519	0.2410196202
520	0.2408264574
521	0.2405224157
522	0.2402755852
523	0.2400406772
524	0.2397690341
525	0.2395300919
526	0.2393476533
527	0.239044541
528	0.2389234123
529	0.2384671289
530	0.2383947352
531	0.2381585127
532	0.2380017076
533	0.2376334269
534	0.237413153
535	0.2373104281
536	0.2371089913
537	0.2370199086
538	0.2369717724
539	0.2366842365
540	0.2363478201
541	0.236040336
542	0.2358520452
543	0.2356223675
544	0.2354098744
545	0.2351503636
546	0.2347171856
547	0.2343636166
548	0.2341954528
549	0.2339677638
550	0.2338058234
551	0.2337204075
552	0.2334150276
553	0.2332037119
554	0.2330351364
555	0.2328454678
556	0.2325888587
557	0.2321446518
558	0.2320189807
559	0.2318625185
560	0.2315999632
561	0.2314314372
562	0.231204605
563	0.231057845
564	0.2307518703
565	0.2306094088
566	0.230398664
567	0.2301623851
568	0.2299303272
569	0.2297157304
570	0.2295896325
571	0.2291463134
572	0.2288782781
573	0.2286990722
574	0.2284833124
575	0.2284050652
576	0.2281695021
577	0.2280377445
578	0.2279050846
579	0.2278072424
580	0.2275546929
581	0.2274203989
582	0.2271691666
583	0.2269496847
584	0.2267651893
585	0.2265384807
586	0.2263682192
587	0.2261585443
588	0.2259981753
589	0.2257759701
590	0.2255808196
591	0.2253122002
592	0.2250677597
593	0.2248362268
594	0.2246108636
595	0.2243371265
596	0.2240538068
597	0.2237960259
598	0.2234034799
599	0.2232515603
600	0.2230016507
601	0.2228567428
602	0.2226965128
603	0.2223924663
604	0.2222232856
605	0.2218743967
606	0.2215655573
607	0.2214147042
608	0.2212180595
609	0.2208788448
610	0.2205608092
611	0.2202740438
612	0.2200940695
613	0.219847354
614	0.2196687196
615	0.2195155771
616	0.2191386955
617	0.2187522417
618	0.2185818387
619	0.2183614855
620	0.2181502377
621	0.218015848
622	0.2177332905
623	0.217611635
624	0.2175011794
625	0.2173319526
626	0.2171552141
627	0.216803188
628	0.2166564357
629	0.2165490818
630	0.216209306
