iter	Passed	Remaining
0	0	33
1	0	30
2	0	30
3	1	29
4	1	29
5	1	28
6	2	28
7	2	27
8	2	26
9	2	26
10	3	25
11	3	25
12	3	24
13	4	24
14	4	24
15	4	24
16	4	24
17	5	23
18	5	23
19	5	23
20	6	22
21	6	22
22	6	22
23	7	22
24	7	22
25	7	22
26	8	22
27	8	22
28	9	22
29	9	22
30	9	21
31	10	21
32	10	21
33	10	20
34	11	20
35	11	20
36	11	19
37	12	19
38	12	19
39	12	18
40	12	18
41	13	18
42	13	17
43	13	17
44	13	17
45	14	16
46	14	16
47	14	16
48	15	15
49	15	15
50	15	15
51	16	14
52	16	14
53	16	14
54	17	14
55	18	14
56	18	13
57	18	13
58	18	13
59	19	12
60	19	12
61	19	12
62	20	11
63	20	11
64	21	11
65	21	11
66	22	10
67	22	10
68	22	10
69	23	9
70	23	9
71	23	9
72	24	8
73	24	8
74	24	8
75	24	7
76	25	7
77	25	7
78	25	6
79	26	6
80	26	6
81	27	5
82	27	5
83	27	5
84	28	4
85	28	4
86	28	4
87	28	3
88	29	3
89	29	3
90	29	2
91	30	2
92	30	2
93	30	1
94	31	1
95	31	1
96	31	0
97	31	0
98	32	0
99	32	0
