id,course_stage,type,start_date,finished,score
3224,seamanship_command_substage,Seamanship,5/7/2020,1.00,82
3249,seamanship_command_substage,Machinery,5/7/2020,1.00,90
3395,seamanship_command_substage,Seamanship,5/7/2020,1.00,89
3224,fundamental_stage,Seamanship,11/8/2020,1.00,85
3249,fundamental_stage,Machinery,11/8/2020,1.00,80
3395,fundamental_stage,Seamanship,11/8/2020,1.00,78
288,seamanship_command_substage,Seamanship,11/12/2020,1.00,87
300,seamanship_command_substage,Seamanship,11/12/2020,1.00,86
310,seamanship_command_substage,Machinery,11/12/2020,1.00,88
369,seamanship_command_substage,Seamanship,11/12/2020,1.00,86
415,seamanship_command_substage,Seamanship,11/12/2020,1.00,85
484,seamanship_command_substage,Seamanship,11/12/2020,1.00,85
499,seamanship_command_substage,Seamanship,11/12/2020,1.00,82
513,seamanship_command_substage,Machinery,11/12/2020,1.00,92
532,seamanship_command_substage,Seamanship,11/12/2020,1.00,88
744,seamanship_command_substage,Seamanship,11/12/2020,1.00,81
756,seamanship_command_substage,Seamanship,11/12/2020,1.00,87
3221,seamanship_command_substage,Seamanship,11/12/2020,1.00,79
3264,seamanship_command_substage,Electronics,11/12/2020,1.00,89
3319,seamanship_command_substage,Seamanship,11/12/2020,1.00,84
3338,seamanship_command_substage,Seamanship,11/12/2020,1.00,80
3346,seamanship_command_substage,Seamanship,11/12/2020,1.00,84
3372,seamanship_command_substage,Seamanship,11/12/2020,1.00,88
3495,seamanship_command_substage,Seamanship,11/12/2020,1.00,92
3578,seamanship_command_substage,Machinery,11/12/2020,1.00,91
288,fundamental_stage,Seamanship,5/2/2021,1.00,85
300,fundamental_stage,Seamanship,5/2/2021,1.00,85
310,fundamental_stage,Machinery,5/2/2021,1.00,95
369,fundamental_stage,Seamanship,5/2/2021,1.00,82
415,fundamental_stage,Seamanship,5/2/2021,1.00,80
484,fundamental_stage,Seamanship,5/2/2021,1.00,85
499,fundamental_stage,Seamanship,5/2/2021,1.00,71
513,fundamental_stage,Machinery,5/2/2021,1.00,87
532,fundamental_stage,Seamanship,5/2/2021,1.00,83
744,fundamental_stage,Seamanship,5/2/2021,1.00,79
756,fundamental_stage,Seamanship,5/2/2021,1.00,82
3221,fundamental_stage,Seamanship,5/2/2021,1.00,85
3264,fundamental_stage,Electronics,5/2/2021,1.00,85
3319,fundamental_stage,Seamanship,5/2/2021,1.00,84
3338,fundamental_stage,Seamanship,5/2/2021,1.00,76
3346,fundamental_stage,Seamanship,5/2/2021,1.00,78
3372,fundamental_stage,Seamanship,5/2/2021,1.00,85
3495,fundamental_stage,Seamanship,5/2/2021,1.00,87
3578,fundamental_stage,Machinery,5/2/2021,1.00,79
172,seamanship_command_substage,Seamanship,5/6/2021,1.00,70
218,seamanship_command_substage,Machinery,5/6/2021,1.00,70
289,seamanship_command_substage,Electronics,5/6/2021,0.00,0
299,seamanship_command_substage,Seamanship,5/6/2021,1.00,70
323,seamanship_command_substage,Seamanship,5/6/2021,1.00,70
340,seamanship_command_substage,Seamanship,5/6/2021,1.00,70
394,seamanship_command_substage,Seamanship,5/6/2021,0.00,0
500,seamanship_command_substage,Seamanship,5/6/2021,0.00,0
529,seamanship_command_substage,Electronics,5/6/2021,1.00,70
555,seamanship_command_substage,Seamanship,5/6/2021,1.00,70
668,seamanship_command_substage,Seamanship,5/6/2021,1.00,70
701,seamanship_command_substage,Seamanship,5/6/2021,1.00,70
730,seamanship_command_substage,Machinery,5/6/2021,1.00,70
782,seamanship_command_substage,Seamanship,5/6/2021,1.00,70
876,seamanship_command_substage,Seamanship,5/6/2021,1.00,70
1283,seamanship_command_substage,Seamanship,5/6/2021,1.00,70
3222,seamanship_command_substage,Seamanship,5/6/2021,1.00,70
3247,seamanship_command_substage,Seamanship,5/6/2021,0.00,0
3269,seamanship_command_substage,Seamanship,5/6/2021,1.00,70
3287,seamanship_command_substage,Seamanship,5/6/2021,1.00,70
3382,seamanship_command_substage,Seamanship,5/6/2021,1.00,70
3466,seamanship_command_substage,Seamanship,5/6/2021,1.00,70
3518,seamanship_command_substage,Machinery,5/6/2021,1.00,70
3521,seamanship_command_substage,Seamanship,5/6/2021,0.00,0
3546,seamanship_command_substage,Seamanship,5/6/2021,1.00,70
3610,seamanship_command_substage,Seamanship,5/6/2021,1.00,70
