id,Source.Name,conduct_two_assessments,trainee_number,gender,stem_units,completion_method,quality_group_score,cognition,initial_rating_score,final_instructor_score,sea_command,land_command,command_final,thinking_ability_final,sea_performance_final,teamwork_final,stress_resilience_final,persistence_final,motivation,structures_test,sea_rowing,sea_rowing_test,fuel_regulator_test,navigation_test,gps_test,fire_extinguishing_test,marine_navigation_radar_test,professional_lecture,lecture_from_home,submarine_heating_exercise,topographic_map_exercise,raft_exercise,ps2_exercise,commander_qualities_exercise,billion_dollar_exercise,rowing,ship_interception_exercise,hole_digging,sociometric_stretchers,journey_1,journey_2,sociometric_rope,crawls,hydraulic_system_test,submarine_watch_exercise,m16_disassembly,m16_assembly,m16_final,psychologist_interview,psychologist_final,naval_officers_formula_score,number_of_trainees_in_group,commander_sociometric_position,friend_sociometric_position,commander_sociometric_ninths,friend_sociometric_ninths,commander_sociometric_percentile,cubes_in_darkness,pull_up_exercise,acid_stream_exercise,rowing_competition,material_evacuation_exercise,machinery_component_understanding,machinery_mechanical_system_analysis,machinery_drawing_analysis,machinery_understanding_physical_forces,machinery_final_suitability_score,machinery_recommendation,electronics_simulator_score,electronics_electrical_circuit_test,electronics_interview,electronics_final_suitability_score,electronics_recommendation
100,1.11.2020.XLSX,,299,unknown,0,not_completed,55,70,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
101,1.11.2020.XLSX,,192,unknown,2,completed,56,90,30,4,7,3,5,6,5,3,3,4,4,0,80,60,60,64,60,0,0,3,0,6,4,6,8,0,4,5,3,7,3,7,6,6,3,0,0,0,0,0,0,0,52,10,6,9,5,4,50.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
102,1.11.2020.XLSX,,152,unknown,3,completed,56,90,30,6,5,5,5,7,8,5,7,7,9,100,40,60,20,0,20,0,0,5,0,6,0,0,4,4,3,4,0,8,8,9,5,8,0,0,0,0,0,0,0,0,54,15,9,5,6,6,46.7,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
103,1.11.2020.XLSX,2.0,38,unknown,0,not_completed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
103,1.11.2020.XLSX,,87,unknown,0,completed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
104,1.11.2020.XLSX,,20,unknown,3,completed,54,70,25,1,2,2,1,1,1,2,1,1,2,0,0,0,78,66,0,98,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,2,3,33.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
105,1.11.2020.XLSX,,95,unknown,3,completed,54,60,35,7,6,6,6,6,7,7,7,6,6,80,60,20,22,16,40,0,0,5,0,4,5,7,5,5,5,5,0,7,7,5,4,5,0,0,0,0,0,0,0,0,68,15,5,2,6,7,73.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
106,1.11.2020.XLSX,,74,unknown,2,completed,55,80,29,2,3,3,3,2,3,3,2,3,2,0,0,0,44,0,0,88,32,6,2,3,0,5,2,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,10,10,8,3,4,10.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
107,1.11.2020.XLSX,,195,unknown,2,completed,0,0,0,4,3,4,4,4,5,5,4,6,6,0,60,40,70,20,30,0,0,4,3,3,4,6,3,1,5,0,2,4,6,6,6,6,6,0,0,0,0,0,0,0,55,13,4,2,6,6,76.9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
108,1.11.2020.XLSX,,75,unknown,2,completed,0,0,0,1,3,4,1,2,1,1,2,5,0,60,1,20,22,32,80,0,0,1,3,5,0,1,2,2,0,3,1,0,5,5,5,0,5,48,4,0,0,7,0,0,43,11,3,5,6,5,81.8,0,5,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0
